mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30.58805497487386,0.7953296430529256,9.895684957504272,0.2272307832217981,0.5,linear,,"{'svc__C': 0.5, 'svc__kernel': 'linear'}",0.92895,0.9292,0.9299,0.92935,0.00040207793606044967,13
47.17766737937927,1.2627445756184172,10.661024649937948,0.11333423889997854,1.0,linear,,"{'svc__C': 1, 'svc__kernel': 'linear'}",0.9272,0.92715,0.9297,0.9280166666666667,0.0011904714285618783,14
73.78937188784282,3.0875507911445688,10.84534470240275,0.04607828723222409,2.0,linear,,"{'svc__C': 2, 'svc__kernel': 'linear'}",0.926,0.926,0.9276,0.9265333333333334,0.00075424723326562,15
155.90063174565634,10.619462936159026,11.116798639297485,0.4362001333645035,5.0,linear,,"{'svc__C': 5, 'svc__kernel': 'linear'}",0.926,0.92365,0.92775,0.9258000000000001,0.0016797817318528819,16
281.1860610644023,11.977308710224227,14.124814430872599,1.4993298932419517,10.0,linear,,"{'svc__C': 10, 'svc__kernel': 'linear'}",0.9245,0.9229,0.9276,0.9249999999999999,0.0019510680835548926,17
27.935023705164593,0.42105197696034447,37.32164001464844,2.599582198143248,1.0,rbf,scale,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9611,0.96425,0.96375,0.9630333333333333,0.0013822284744410577,7
160.81081636746725,1.9484431406777556,77.3928005695343,0.8278241770873656,1.0,rbf,0.01,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.86395,0.86685,0.87205,0.8676166666666667,0.0033509534298299145,21
77.6032776037852,2.297977286241941,52.59601545333862,1.6585731719128018,1.0,rbf,0.005,"{'svc__C': 1, 'svc__gamma': 0.005, 'svc__kernel': 'rbf'}",0.9389,0.94265,0.94615,0.9425666666666667,0.0029603866113886382,12
27.878096342086792,0.47640836610188714,34.580954233805336,1.0088385287986978,1.0,rbf,0.001,"{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.958,0.9622,0.9615,0.9605666666666667,0.0018372685039361265,8
27.42237615585327,1.0857345502142395,33.94161891937256,1.6855382077584757,2.0,rbf,scale,"{'svc__C': 2, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.96555,0.96895,0.96785,0.9674499999999999,0.0014165686240583677,5
212.16258835792542,3.2930374633644703,84.67775877316792,2.6245841611272414,2.0,rbf,0.01,"{'svc__C': 2, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.8742,0.8767,0.88235,0.8777500000000001,0.0034090565654835646,20
91.2876718044281,2.010217655176303,56.95796489715576,1.0310941637626074,2.0,rbf,0.005,"{'svc__C': 2, 'svc__gamma': 0.005, 'svc__kernel': 'rbf'}",0.9435,0.94675,0.94955,0.9466,0.002472178526455293,11
32.520232836405434,0.28971547893525573,33.70009756088257,0.1699290239922481,2.0,rbf,0.001,"{'svc__C': 2, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.96235,0.9665,0.96605,0.9649666666666668,0.0018593607025593917,6
35.522096157073975,1.8747352888061979,34.18192720413208,0.3265642663906719,5.0,rbf,scale,"{'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.96745,0.972,0.9701,0.96985,0.0018659224707009059,3
223.0384337902069,2.8142686255709144,69.34884198506673,1.26116841856735,5.0,rbf,0.01,"{'svc__C': 5, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.87435,0.8767,0.88245,0.8778333333333332,0.0034025317371366506,18
97.36927509307861,1.1222919049446427,55.49902065594991,0.4237524196126902,5.0,rbf,0.005,"{'svc__C': 5, 'svc__gamma': 0.005, 'svc__kernel': 'rbf'}",0.9439,0.94715,0.9495,0.94685,0.002296011033655276,9
29.397638241449993,0.3792691387554097,32.226165453592934,0.5466491878809344,5.0,rbf,0.001,"{'svc__C': 5, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.96715,0.97015,0.96975,0.9690166666666666,0.0013299958228840097,4
30.79403328895569,0.5889328853676272,33.70183595021566,0.5542498376297874,10.0,rbf,scale,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.96735,0.9722,0.97015,0.9699,0.001987879942719508,2
162.57137942314148,2.0841209642100655,48.84099896748861,0.6858390755512332,10.0,rbf,0.01,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.87435,0.87665,0.88245,0.8778166666666666,0.0034081601422989915,19
89.61280433336894,0.7965985014734964,44.340874671936035,0.48555137167535484,10.0,rbf,0.005,"{'svc__C': 10, 'svc__gamma': 0.005, 'svc__kernel': 'rbf'}",0.9441,0.94705,0.9491,0.9467500000000001,0.002052234554495819,10
28.86858105659485,0.21778197379217348,29.34715263048808,1.050341885876868,10.0,rbf,0.001,"{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9683,0.9719,0.9712,0.9704666666666667,0.0015584892970080932,1
